                14cen.lli.out                                       2006/11/28

 EXTRA OUTPUT FILE.  REQUIRED AS INPUT FILE FOR CASC




  Saga (N) 6407/2-3                       

 WELL #  1 WITH  47 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000   0.51336   0.41026
  2   1.00000   1.12453   0.37671
  3   2.00000   1.73333   0.34485
  4   3.00000   2.33975   0.31476
  5   4.00000   2.94380   0.28650
  6   5.00000   3.54547   0.26020
  7   6.00000   4.14477   0.23597
  8   7.00000   4.74170   0.21397
  9   8.00000   5.33626   0.19437
 10   9.00000   5.92844   0.17737
 11  10.00000   6.51824   0.16315
 12  11.00000   7.10567   0.15186
 13  12.00000   7.69073   0.14357
 14  13.00000   8.27341   0.13819
 15  14.00000   8.85373   0.13549
 16  15.00000   9.43166   0.13509
 17  16.00000  10.00722   0.13651
 18  17.00000  10.58041   0.13923
 19  18.00000  11.15123   0.14279
 20  19.00000  11.71967   0.14678
 21  20.00000  12.28574   0.15086
 22  21.00000  12.84943   0.15476
 23  22.00000  13.41075   0.15827
 24  23.00000  13.96969   0.16124
 25  24.00000  14.52627   0.16355
 26  25.00000  15.08046   0.16512
 27  26.00000  15.63229   0.16590
 28  27.00000  16.18174   0.16585
 29  28.00000  16.72881   0.16497
 30  29.00000  17.27352   0.16327
 31  30.00000  17.81585   0.16078
 32  31.00000  18.35580   0.15756
 33  32.00000  18.89338   0.15370
 34  33.00000  19.42859   0.14934
 35  34.00000  19.96142   0.14464
 36  35.00000  20.49188   0.13985
 37  36.00000  21.01996   0.13526
 38  37.00000  21.54568   0.13128
 39  38.00000  22.06901   0.12838
 40  39.00000  22.58998   0.12712
 41  40.00000  23.10857   0.12805
 42  41.00000  23.62478   0.13166
 43  42.00000  24.13863   0.13830
 44  43.00000  24.65009   0.14812
 45  44.00000  25.15919   0.16108
 46  45.00000  25.66591   0.17701
 47  46.00000  26.17026   0.19571
 48  47.00000  26.67223   0.21692
 49  48.00000  27.17183   0.24045
 50  49.00000  27.66905   0.26612
 51  50.00000  28.16390   0.29377
 52  51.00000  28.65638   0.32329
 53  52.00000  29.14648   0.35459
 54  53.00000  29.63421   0.38759
 55  54.00000  30.11957   0.42223



  Statoil (N) 6407/4-1                    

 WELL #  2 WITH  47 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000  -0.58443   0.45017
  2   1.00000   0.09502   0.41477
  3   2.00000   0.77170   0.38104
  4   3.00000   1.44560   0.34903
  5   4.00000   2.11672   0.31882
  6   5.00000   2.78507   0.29047
  7   6.00000   3.45064   0.26409
  8   7.00000   4.11344   0.23980
  9   8.00000   4.77346   0.21773
 10   9.00000   5.43071   0.19804
 11  10.00000   6.08518   0.18091
 12  11.00000   6.73687   0.16649
 13  12.00000   7.38579   0.15492
 14  13.00000   8.03193   0.14623
 15  14.00000   8.67529   0.14035
 16  15.00000   9.31589   0.13705
 17  16.00000   9.95370   0.13598
 18  17.00000  10.58874   0.13667
 19  18.00000  11.22100   0.13866
