                14ceni.out                                          2007/06/24

 EXTRA OUTPUT FILE.  REQUIRED AS INPUT FILE FOR CASC




  Saga (N) 6407/2-3                       

 WELL #  1 WITH  47 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000   0.43820   0.41021
  2   1.00000   1.05632   0.37668
  3   2.00000   1.67184   0.34484
  4   3.00000   2.28478   0.31476
  5   4.00000   2.89513   0.28652
  6   5.00000   3.50289   0.26022
  7   6.00000   4.10807   0.23600
  8   7.00000   4.71065   0.21399
  9   8.00000   5.31065   0.19437
 10   9.00000   5.90806   0.17734
 11  10.00000   6.50288   0.16308
 12  11.00000   7.09511   0.15175
 13  12.00000   7.68476   0.14341
 14  13.00000   8.27181   0.13798
 15  14.00000   8.85628   0.13523
 16  15.00000   9.43816   0.13478
 17  16.00000  10.01745   0.13616
 18  17.00000  10.59416   0.13885
 19  18.00000  11.16827   0.14239
 20  19.00000  11.73980   0.14636
 21  20.00000  12.30874   0.15042
 22  21.00000  12.87509   0.15431
 23  22.00000  13.43885   0.15782
 24  23.00000  14.00003   0.16079
 25  24.00000  14.55861   0.16310
 26  25.00000  15.11461   0.16469
 27  26.00000  15.66802   0.16548
 28  27.00000  16.21885   0.16544
 29  28.00000  16.76708   0.16458
 30  29.00000  17.31273   0.16290
 31  30.00000  17.85578   0.16044
 32  31.00000  18.39625   0.15726
 33  32.00000  18.93413   0.15344
 34  33.00000  19.46943   0.14912
 35  34.00000  20.00213   0.14447
 36  35.00000  20.53225   0.13972
 37  36.00000  21.05978   0.13520
 38  37.00000  21.58472   0.13128
 39  38.00000  22.10707   0.12845
 40  39.00000  22.62683   0.12725
 41  40.00000  23.14401   0.12823
 42  41.00000  23.65860   0.13189
 43  42.00000  24.17060   0.13857
 44  43.00000  24.68001   0.14840
 45  44.00000  25.18683   0.16136
 46  45.00000  25.69107   0.17729
 47  46.00000  26.19271   0.19595
 48  47.00000  26.69177   0.21714
 49  48.00000  27.18824   0.24063
 50  49.00000  27.68213   0.26625
 51  50.00000  28.17342   0.29386
 52  51.00000  28.66213   0.32333
 53  52.00000  29.14824   0.35458
 54  53.00000  29.63177   0.38752
 55  54.00000  30.11271   0.42211



  Statoil (N) 6407/4-1                    

 WELL #  2 WITH  47 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000  -0.55915   0.45019
  2   1.00000   0.13250   0.41448
  3   2.00000   0.82078   0.38046
  4   3.00000   1.50570   0.34817
  5   4.00000   2.18726   0.31769
  6   5.00000   2.86546   0.28910
  7   6.00000   3.54031   0.26250
  8   7.00000   4.21179   0.23802
  9   8.00000   4.87992   0.21579
 10   9.00000   5.54468   0.19600
 11  10.00000   6.20609   0.17882
 12  11.00000   6.86413   0.16444
 13  12.00000   7.51882   0.15298
 14  13.00000   8.17015   0.14451
 15  14.00000   8.81811   0.13893
 16  15.00000   9.46272   0.13599
 17  16.00000  10.10397   0.13532
 18  17.00000  10.74185   0.13643
 19  18.00000  11.37638   0.13881
