                27cenai.out                                         2007/03/15

 EXTRA OUTPUT FILE.  REQUIRED AS INPUT FILE FOR CASC




  Saga (N) 6407/2-3                       

 WELL #  1 WITH  60 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000   0.94399   0.34684
  2   1.00000   1.34732   0.33024
  3   2.00000   1.75010   0.31416
  4   3.00000   2.15234   0.29859
  5   4.00000   2.55404   0.28357
  6   5.00000   2.95520   0.26909
  7   6.00000   3.35582   0.25518
  8   7.00000   3.75589   0.24185
  9   8.00000   4.15543   0.22913
 10   9.00000   4.55442   0.21704
 11  10.00000   4.95287   0.20560
 12  11.00000   5.35078   0.19484
 13  12.00000   5.74815   0.18479
 14  13.00000   6.14498   0.17548
 15  14.00000   6.54127   0.16693
 16  15.00000   6.93701   0.15917
 17  16.00000   7.33222   0.15222
 18  17.00000   7.72688   0.14611
 19  18.00000   8.12100   0.14084
 20  19.00000   8.51458   0.13642
 21  20.00000   8.90762   0.13282
 22  21.00000   9.30011   0.13003
 23  22.00000   9.69207   0.12800
 24  23.00000  10.08348   0.12668
 25  24.00000  10.47436   0.12601
 26  25.00000  10.86469   0.12590
 27  26.00000  11.25448   0.12629
 28  27.00000  11.64373   0.12710
 29  28.00000  12.03243   0.12823
 30  29.00000  12.42060   0.12964
 31  30.00000  12.80822   0.13123
 32  31.00000  13.19531   0.13295
 33  32.00000  13.58185   0.13473
 34  33.00000  13.96785   0.13654
 35  34.00000  14.35331   0.13832
 36  35.00000  14.73822   0.14004
 37  36.00000  15.12260   0.14165
 38  37.00000  15.50643   0.14314
 39  38.00000  15.88973   0.14447
 40  39.00000  16.27248   0.14563
 41  40.00000  16.65469   0.14659
 42  41.00000  17.03636   0.14734
 43  42.00000  17.41749   0.14787
 44  43.00000  17.79807   0.14818
 45  44.00000  18.17812   0.14824
 46  45.00000  18.55762   0.14806
 47  46.00000  18.93658   0.14764
 48  47.00000  19.31500   0.14696
 49  48.00000  19.69288   0.14604
 50  49.00000  20.07022   0.14488
 51  50.00000  20.44702   0.14348
 52  51.00000  20.82327   0.14185
 53  52.00000  21.19898   0.14000
 54  53.00000  21.57416   0.13793
 55  54.00000  21.94879   0.13568
 56  55.00000  22.32288   0.13326
 57  56.00000  22.69642   0.13069
 58  57.00000  23.06943   0.12801
 59  58.00000  23.44190   0.12525
 60  59.00000  23.81382   0.12245
 61  60.00000  24.18520   0.11967
 62  61.00000  24.55604   0.11696
 63  62.00000  24.92634   0.11439
 64  63.00000  25.29610   0.11206
 65  64.00000  25.66532   0.11003
 66  65.00000  26.03399   0.10843
 67  66.00000  26.40213   0.10734
 68  67.00000  26.76972   0.10688
 69  68.00000  27.13677   0.10715
 70  69.00000  27.50328   0.10825
 71  70.00000  27.86925   0.11025
 72  71.00000  28.23468   0.11321
 73  72.00000  28.59957   0.11717
 74  73.00000  28.96391   0.12212
 75  74.00000  29.32771   0.12806
 76  75.00000  29.69097   0.13495
 77  76.00000  30.05369   0.14276
 78  77.00000  30.41587   0.15145
